feature,importance
ACTIVE_AMT_CREDIT_SUM_SUM,10.8275
INSTAL_PAYMENT_PERC_SUM,10.68
INSTAL_PAYMENT_DIFF_MEAN,10.6375
PREV_AMT_ANNUITY_MAX,10.6325
PREV_CNT_PAYMENT_SUM,10.57
PREV_DAYS_DECISION_MIN,10.4975
INSTAL_AMT_INSTALMENT_SUM,10.3525
PREV_AMT_CREDIT_MEAN,10.315
NEW_RATIO_BURO_MONTHS_BALANCE_SIZE_SUM,10.265
APPROVED_AMT_ANNUITY_MAX,10.125
PREV_AMT_DOWN_PAYMENT_MAX,10.085
NEW_RATIO_BURO_MONTHS_BALANCE_SIZE_MEAN,10.0825
APPROVED_AMT_ANNUITY_MEAN,10.0125
INSTAL_PAYMENT_DIFF_SUM,9.8875
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,9.81
PREV_AMT_APPLICATION_MEAN,9.8025
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,9.8025
PREV_APP_CREDIT_PERC_MAX,9.755
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,9.715
CLOSED_MONTHS_BALANCE_SIZE_MEAN,9.7
APPROVED_APP_CREDIT_PERC_MAX,9.595
PREV_NAME_YIELD_GROUP_middle_MEAN,9.5575
BASEMENTAREA_AVG,9.555
BURO_STATUS_C_MEAN_MEAN,9.5525
APARTMENTS_AVG,9.5325
ACTIVE_AMT_CREDIT_SUM_MAX,9.5325
INSTAL_PAYMENT_DIFF_MAX,9.52
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,9.5
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,9.495
INSTAL_PAYMENT_DIFF_VAR,9.485
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,9.455
LANDAREA_AVG,9.355
PREV_AMT_GOODS_PRICE_MEAN,9.355
INSTAL_DPD_MAX,9.3225
APPROVED_APP_CREDIT_PERC_MIN,9.2375
ACTIVE_MONTHS_BALANCE_SIZE_SUM,9.2275
BURO_MONTHS_BALANCE_SIZE_MEAN,9.22
INSTAL_DPD_MEAN,9.2075
NEW_RATIO_PREV_APP_CREDIT_PERC_MEAN,9.1975
PREV_NAME_TYPE_SUITE_nan_MEAN,9.1425
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,9.12
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,8.9975
APPROVED_AMT_GOODS_PRICE_MIN,8.995
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,8.985
NEW_RATIO_PREV_DAYS_DECISION_MIN,8.9625
NEW_RATIO_PREV_AMT_ANNUITY_MAX,8.9575
INSTAL_COUNT,8.93
LANDAREA_MODE,8.905
APPROVED_AMT_DOWN_PAYMENT_MAX,8.875
POS_MONTHS_BALANCE_MAX,8.855
BASEMENTAREA_MODE,8.8525
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,8.8275
PREV_RATE_DOWN_PAYMENT_MEAN,8.8175
NEW_RATIO_PREV_DAYS_DECISION_MAX,8.77
APPROVED_DAYS_DECISION_MIN,8.715
NEW_RATIO_PREV_APP_CREDIT_PERC_MAX,8.7125
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,8.7075
NEW_RATIO_PREV_DAYS_DECISION_MEAN,8.68
PREV_APP_CREDIT_PERC_MIN,8.645
PREV_AMT_DOWN_PAYMENT_MEAN,8.6425
INSTAL_AMT_PAYMENT_SUM,8.6225
BURO_CREDIT_TYPE_Consumer credit_MEAN,8.61
LIVINGAREA_MODE,8.595
PREV_NAME_YIELD_GROUP_low_normal_MEAN,8.5925
BURO_STATUS_1_MEAN_MEAN,8.5425
CLOSED_MONTHS_BALANCE_SIZE_SUM,8.54
BURO_CREDIT_TYPE_Credit card_MEAN,8.4975
BURO_AMT_CREDIT_SUM_DEBT_MAX,8.4175
COMMONAREA_AVG,8.41
YEARS_BUILD_AVG,8.4025
NEW_RATIO_BURO_MONTHS_BALANCE_MIN_MIN,8.4
LIVINGAREA_AVG,8.3425
APPROVED_AMT_APPLICATION_MIN,8.2875
PREV_RATE_DOWN_PAYMENT_MAX,8.1925
REFUSED_DAYS_DECISION_MIN,8.13
NEW_RATIO_PREV_APP_CREDIT_PERC_VAR,8.115
PREV_NAME_YIELD_GROUP_high_MEAN,8.08
NEW_RATIO_PREV_AMT_ANNUITY_MEAN,8.0525
APPROVED_AMT_DOWN_PAYMENT_MEAN,7.985
APPROVED_AMT_CREDIT_MAX,7.9425
NEW_RATIO_PREV_AMT_GOODS_PRICE_MIN,7.9325
PREV_NAME_TYPE_SUITE_Family_MEAN,7.9
PREV_AMT_CREDIT_MAX,7.8075
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,7.7925
REFUSED_APP_CREDIT_PERC_VAR,7.7875
PREV_AMT_CREDIT_MIN,7.7025
NEW_RATIO_PREV_TIME_DECAYED_HUMAN_EVAL_SUM,7.6975
PREV_HUMAN_EVAL_MEAN,7.6525
NONLIVINGAREA_AVG,7.61
APPROVED_AMT_CREDIT_MEAN,7.5825
REFUSED_AMT_ANNUITY_MIN,7.5775
NONLIVINGAREA_MODE,7.5575
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,7.54
APPROVED_RATE_DOWN_PAYMENT_MEAN,7.2925
POS_SK_DPD_MEAN,7.235
APARTMENTS_MODE,7.2325
POS_SK_DPD_DEF_MEAN,7.2175
PREV_CHANNEL_TYPE_Country-wide_MEAN,7.1525
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,7.145
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,7.1175
COMMONAREA_MODE,7.0825
LIVINGAPARTMENTS_AVG,7.0475
REFUSED_AMT_ANNUITY_MAX,7.0125
BURO_AMT_ANNUITY_MAX,6.9825
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,6.975
INSTAL_AMT_PAYMENT_MAX,6.965
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,6.965
APPROVED_AMT_APPLICATION_MEAN,6.925
REFUSED_HOUR_APPR_PROCESS_START_MEAN,6.9125
PREV_AMT_APPLICATION_MIN,6.9125
POS_SK_DPD_MAX,6.9025
NEW_RATIO_PREV_CNT_PAYMENT_MEAN,6.8825
PREV_CHANNEL_TYPE_Stone_MEAN,6.865
CC_AMT_PAYMENT_CURRENT_VAR,6.8425
PREV_RATE_DOWN_PAYMENT_MIN,6.8225
ACTIVE_AMT_ANNUITY_MAX,6.7575
YEARS_BEGINEXPLUATATION_MODE,6.725
BURO_AMT_ANNUITY_MEAN,6.725
PREV_AMT_DOWN_PAYMENT_MIN,6.71
NEW_RATIO_PREV_AMT_CREDIT_MIN,6.7
LIVINGAPARTMENTS_MODE,6.695
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,6.6875
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,6.68
APPROVED_RATE_DOWN_PAYMENT_MAX,6.68
APPROVED_HOUR_APPR_PROCESS_START_MAX,6.68
NEW_RATIO_PREV_APP_CREDIT_PERC_MIN,6.6725
CC_AMT_PAYMENT_CURRENT_MEAN,6.665
BURO_MONTHS_BALANCE_SIZE_SUM,6.6525
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,6.635
PREV_HOUR_APPR_PROCESS_START_MIN,6.6325
PREV_HOUR_APPR_PROCESS_START_MAX,6.61
APPROVED_AMT_APPLICATION_MAX,6.585
REFUSED_DAYS_DECISION_MAX,6.5675
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,6.5675
APPROVED_HOUR_APPR_PROCESS_START_MIN,6.555
CLOSED_MONTHS_BALANCE_MIN_MIN,6.55
CC_AMT_PAYMENT_CURRENT_MAX,6.5475
BURO_AMT_CREDIT_SUM_DEBT_SUM,6.45
APPROVED_RATE_DOWN_PAYMENT_MIN,6.4475
OBS_30_CNT_SOCIAL_CIRCLE,6.4425
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,6.415
APPROVED_AMT_DOWN_PAYMENT_MIN,6.385
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,6.3375
PREV_AMT_APPLICATION_MAX,6.2925
ACTIVE_AMT_ANNUITY_MEAN,6.29
CLOSED_AMT_ANNUITY_MAX,6.28
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,6.265
INSTAL_DPD_SUM,6.2625
ENTRANCES_AVG,6.2625
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,6.2475
REFUSED_TIME_DECAYED_HUMAN_EVAL_SUM,6.115
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,6.1
REFUSED_APP_CREDIT_PERC_MAX,6.0525
BURO_MONTHS_BALANCE_MIN_MIN,5.9225
PREV_PRODUCT_COMBINATION_Cash_MEAN,5.92
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,5.9075
AMT_REQ_CREDIT_BUREAU_YEAR,5.9
NEW_RATIO_PREV_CNT_PAYMENT_SUM,5.89
APPROVED_AMT_GOODS_PRICE_MEAN,5.8825
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,5.835
CC_AMT_PAYMENT_CURRENT_MIN,5.81
ACTIVE_MONTHS_BALANCE_MIN_MIN,5.7725
NEW_RATIO_PREV_AMT_GOODS_PRICE_MEAN,5.735
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,5.7325
"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",5.73
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,5.72
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,5.7125
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,5.7075
PREV_NAME_PORTFOLIO_XNA_MEAN,5.6825
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,5.64
POS_SK_DPD_DEF_MAX,5.635
CLOSED_AMT_ANNUITY_MEAN,5.5725
PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,5.5475
PREV_NAME_YIELD_GROUP_XNA_MEAN,5.5425
REFUSED_AMT_ANNUITY_MEAN,5.49
REFUSED_APP_CREDIT_PERC_MIN,5.47
BURO_CREDIT_ACTIVE_Active_MEAN,5.465
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,5.3975
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,5.38
REFUSED_AMT_GOODS_PRICE_MIN,5.3775
PREV_CHANNEL_TYPE_Contact center_MEAN,5.3725
CC_AMT_RECIVABLE_MIN,5.36
PREV_CHANNEL_TYPE_Regional / Local_MEAN,5.3125
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,5.275
REFUSED_APP_CREDIT_PERC_MEAN,5.2125
INSTAL_PAYMENT_PERC_MAX,5.205
YEARS_BUILD_MODE,5.1825
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,5.115
REFUSED_DAYS_DECISION_MEAN,5.0975
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,5.0825
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,5.0575
PREV_NAME_CLIENT_TYPE_New_MEAN,5.0475
NEW_RATIO_PREV_AMT_CREDIT_MAX,5.0025
PREV_NAME_PORTFOLIO_Cash_MEAN,4.9925
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,4.9775
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,4.9725
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,4.93
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,4.89
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,4.87
NONLIVINGAPARTMENTS_AVG,4.865
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,4.8425
FLOORSMIN_AVG,4.8025
PREV_NAME_YIELD_GROUP_low_action_MEAN,4.7875
PREV_CODE_REJECT_REASON_HC_MEAN,4.7775
REFUSED_CNT_PAYMENT_SUM,4.7625
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,4.76
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,4.7525
NEW_RATIO_PREV_AMT_CREDIT_MEAN,4.7425
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,4.6075
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,4.575
NONLIVINGAREA_MEDI,4.5275
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,4.4825
FLOORSMAX_AVG,4.4825
NEW_RATIO_BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,4.4775
NEW_RATIO_PREV_AMT_APPLICATION_MIN,4.465
REFUSED_HOUR_APPR_PROCESS_START_MIN,4.4525
BASEMENTAREA_MEDI,4.42
OBS_60_CNT_SOCIAL_CIRCLE,4.3925
REFUSED_CNT_PAYMENT_MEAN,4.38
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,4.3725
REFUSED_AMT_CREDIT_MIN,4.3525
BURO_AMT_CREDIT_SUM_LIMIT_SUM,4.32
NEW_RATIO_PREV_AMT_APPLICATION_MEAN,4.2975
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,4.2175
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,4.205
CC_AMT_DRAWINGS_POS_CURRENT_MAX,4.2
NEW_RATIO_PREV_AMT_GOODS_PRICE_MAX,4.1875
PREV_CODE_REJECT_REASON_LIMIT_MEAN,4.1875
CC_CNT_DRAWINGS_CURRENT_SUM,4.185
BURO_STATUS_2_MEAN_MEAN,4.0875
NEW_RATIO_BURO_AMT_ANNUITY_MEAN,4.0775
BURO_CREDIT_ACTIVE_Closed_MEAN,4.0675
PREV_NAME_TYPE_SUITE_Children_MEAN,4.045
CLOSED_MONTHS_BALANCE_MAX_MAX,4.0125
YEARS_BEGINEXPLUATATION_MEDI,3.995
PREV_PRODUCT_COMBINATION_Card Street_MEAN,3.97
CC_AMT_INST_MIN_REGULARITY_VAR,3.955
NEW_INC_BY_ORG,3.925
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,3.9225
AMT_REQ_CREDIT_BUREAU_MON,3.91
CC_MONTHS_BALANCE_VAR,3.9075
CC_AMT_DRAWINGS_CURRENT_MAX,3.9025
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,3.89
NEW_RATIO_PREV_AMT_APPLICATION_MAX,3.8875
REFUSED_AMT_CREDIT_MAX,3.8675
POS_NAME_CONTRACT_STATUS_Returned to the store_MEAN,3.8525
PREV_CODE_REJECT_REASON_SCO_MEAN,3.84
REFUSED_HOUR_APPR_PROCESS_START_MAX,3.805
LANDAREA_MEDI,3.74
APARTMENTS_MEDI,3.735
BURO_CREDIT_TYPE_Car loan_MEAN,3.7175
CC_CNT_DRAWINGS_CURRENT_MEAN,3.7
CC_AMT_DRAWINGS_POS_CURRENT_SUM,3.69
REFUSED_AMT_GOODS_PRICE_MEAN,3.68
PREV_CODE_REJECT_REASON_XAP_MEAN,3.675
REFUSED_AMT_APPLICATION_MIN,3.6675
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,3.6425
ELEVATORS_AVG,3.615
LIVINGAREA_MEDI,3.6025
